사업장명칭,사업장소재지(지번),사업장소재지(도로명),사육두수
학*농장,전라남도 여수시 소라면 현천리 620번지 3호  ,전라남도 여수시 소라면 선천길 6,7
병*농장,전라남도 여수시 소라면 현천리 352번지  ,전라남도 여수시 소라면 선천길 24-3,2
행*농장,전라남도 여수시 소라면 현천리 567번지  ,전라남도 여수시 소라면 선천길 24-5,2
형*농장,전라남도 여수시 소라면 현천리 760번지  ,전라남도 여수시 소라면 오룡길 14,3
현*농장,전라남도 여수시 소라면 현천리 361번지 4호  ,전라남도 여수시 소라면 서부로 256,5
관*농장,전라남도 여수시 화양면 서촌리 886번지 1호  ,전라남도 여수시 화양면 석교로 62-60,4
오*농장,전라남도 여수시 율촌면 신풍리 13번지 119호  ,전라남도 여수시 율촌면 산돌길 108-36,3600
오*농장,    ,전라남도 여수시 소라면 오룡길 43-33,19
민*네농원,전라남도 여수시 오천동 282번지  ,,100
갑*농장,전라남도 여수시 율촌면 신풍리 13번지 66호  ,,111
가*안농장,전라남도 여수시 율촌면 봉전리 418번지  ,,8
금*농장,    ,전라남도 여수시 돌산읍 작금길 25-41,14
만*농장,전라남도 여수시 소라면 복산리 산 182번지 5호  ,전라남도 여수시 소라면 마산로 148-90,19
쌍*이 농원,전라남도 여수시 만흥동 1202번지  ,전라남도 여수시 만성로 254 (만흥동),0
달*농장,전라남도 여수시 소라면 복산리 1521번지 6호  ,전라남도 여수시 소라면 달천길 58,0
오*태 소마구,전라남도 여수시 화양면 서촌리 1114번지 1호  ,,3
세*농장,전라남도 여수시 돌산읍 군내리 1342번지  ,,0
덕*농장,전라남도 여수시 돌산읍 금봉리 281번지 2호  ,,6
선*농장,전라남도 여수시 돌산읍 서덕리 136번지 1호  ,,8
도*농장,전라남도 여수시 돌산읍 서덕리 866번지 3호  ,,8
도*농장,전라남도 여수시 돌산읍 신복리 296번지  ,전라남도 여수시 돌산읍 잔복골길 215,12
까*농장,전라남도 여수시 돌산읍 서덕리 461번지  ,전라남도 여수시 돌산읍 서기동길 22-41,3
영*농장,    ,전라남도 여수시 돌산읍 봉수길 39-27,70
정*농장,전라남도 여수시 돌산읍 둔전리 1245번지 1호  ,,30
기*농장,전라남도 여수시 돌산읍 평사리 653번지  ,,1
소*소담,전라남도 여수시 돌산읍 둔전리 1563번지 4호  ,전라남도 여수시 돌산읍 돌산로 2550-51,27
재*농장,전라남도 여수시 돌산읍 죽포리 511번지  ,,2
김*인농장,전라남도 여수시 돌산읍 서덕리 82번지 1호  ,전라남도 여수시 돌산읍 돌산로 1994-55,4
최*근농장,전라남도 여수시 돌산읍 서덕리 670번지 1호  ,,2
박*종농장,전라남도 여수시 돌산읍 둔전리 1327번지 3호  ,,1
박*봉농장,전라남도 여수시 돌산읍 군내리 1476번지  ,전라남도 여수시 돌산읍 송도길 24,4
