사업장명칭,주사육업종,사업장소재지
미*농장,한우,경상북도 경산시 용성면 미산리
영*농장,한우,경상북도 경산시 용성면 도덕리
조*농원,한우,경상북도 경산시 용성면 고죽리
대*농장,한우,경상북도 경산시 용성면 대종리
갈*농장,한우,경상북도 경산시 용성면 대종리
점*농장,한우,경상북도 경산시 점촌동
칠*농장,한우,경상북도 경산시 점촌동
종*농장,한우,경상북도 경산시 용성면 고은리
가*비농장,한우,경상북도 경산시 와촌면 계전리
갑*농장,육계,경상북도 경산시 갑제동
쌍*이농장,한우,경상북도 경산시 남산면 송내리
우*농장,한우,경상북도 경산시 남산면 사월리
솔*목장,한우,경상북도 경산시 남산면 송내리
삼*농장,한우,경상북도 경산시 남방동
란*장,한우,경상북도 경산시 용성면 송림리
황*수농장,한우,경상북도 경산시 진량읍 안촌리
송*농장,한우,경상북도 경산시 와촌면 대동
성*농장,한우,경상북도 경산시 와촌면 소월리
늘*른농장,한우,경상북도 경산시 자인면 신관리
대*축산,한우,경상북도 경산시 용성면 당리
매*축산,한우,경상북도 경산시 남산면 사월리
천*농장,산양,경상북도 경산시 자인면 남촌리
구*농장,한우,경상북도 경산시 하양읍 양지리
한*농장,한우,경상북도 경산시 진량읍 북리
형*농장,한우,경상북도 경산시 와촌면 시천리
그*목장,한우,경상북도 경산시 와촌면 대동
은*목장,젖소,경상북도 경산시 와촌면 상암리
진*농장,한우,경상북도 경산시 와촌면 용천리
대*목장,"한우, 젖소",경상북도 경산시 압량읍 금구리
미*농장,한우,경상북도 경산시 남방동
송*농장,한우,경상북도 경산시 남산면 송내리
진*농장,육우,경상북도 경산시 자인면 옥천리
하*축산,한우,경상북도 경산시 남산면 하대리
산*축산,한우,경상북도 경산시 남천면 산전리
금*축산,한우,경상북도 경산시 남천면 금곡리
용*농장,한우,경상북도 경산시 와촌면 용천리
태*농장,한우,경상북도 경산시 진량읍 다문리
이*수농장,한우,경상북도 경산시 와촌면
창*농장,한우,경상북도 경산시 용성면 곡란리
전*농장,한우,경상북도 경산시 용성면 송림리
외*농장,한우,경상북도 경산시 용성면 외촌리
용*농장,한우,경상북도 경산시 용성면 미산리
신*축산,한우,경상북도 경산시 와촌면 신한리
불*골농장,돼지,경상북도 경산시 진량읍 다문리
사*절축산,"한우, 육우",경상북도 경산시 용성면 당리
태*농장,한우,경상북도 경산시 용성면 고죽리
원*농장,한우,경상북도 경산시 용성면 외촌리
경*농장,한우,경상북도 경산시 용성면 매남리
훈*네농장,한우,경상북도 경산시 진량읍 부기리
성*축산,한우,경상북도 경산시 남산면 사림리
금*농장,한우,경상북도 경산시 용성면 대종리
기*농장,한우,경상북도 경산시 용성면 대종리
하*농장,한우,경상북도 경산시 용성면 대종리
