사업장명칭,등록축종,사업장(축사)소재지,사육마리수,데이터기준일자
만**농장,한우,경상북도 청도군 매전면 남양리 ,0,2026-05-11
만**농장,한우,경상북도 청도군 매전면 남양리 ,0,2026-05-11
이**농장,한우,경상북도 청도군 매전면 내리 ,2,2026-05-11
주**농원,한우,경상북도 청도군 매전면 당호리 ,16,2026-05-11
종**농장,한우,경상북도 청도군 매전면 덕산리 ,5,2026-05-11
이**농장,한우,경상북도 청도군 매전면 덕산리 ,11,2026-05-11
김**농장,한우,경상북도 청도군 매전면 덕산리 ,2,2026-05-11
도**농장,한우,경상북도 청도군 매전면 덕산리 ,7,2026-05-11
스**농장,한우,경상북도 청도군 매전면 덕산리 ,22,2026-05-11
동**목장,한우,경상북도 청도군 매전면 동산리 ,2,2026-05-11
영**농장,한우,경상북도 청도군 매전면 동산리 ,46,2026-05-11
창**목장,한우,경상북도 청도군 매전면 동산리 ,8,2026-05-11
동**목장,한우,경상북도 청도군 매전면 동산리 ,8,2026-05-11
김**농장,한우,경상북도 청도군 매전면 동산리 ,28,2026-05-11
동**목장(2),한우,경상북도 청도군 매전면 동산리 ,30,2026-05-11
이**농장,한우,경상북도 청도군 매전면 두곡리 ,2,2026-05-11
이**농장,한우,경상북도 청도군 매전면 두곡리 ,63,2026-05-11
선**목장,한우,경상북도 청도군 매전면 두곡리 ,0,2026-05-11
정**농장,한우,경상북도 청도군 매전면 북지리 ,30,2026-05-11
동**목장,한우,경상북도 청도군 매전면 북지리 ,50,2026-05-11
행**농장,한우,경상북도 청도군 매전면 북지리 ,15,2026-05-11
희**농장,한우,경상북도 청도군 매전면 북지리 ,3,2026-05-11
김**농장,한우,경상북도 청도군 매전면 상평리 ,83,2026-05-11
크**농장,한우,경상북도 청도군 매전면 상평리 ,0,2026-05-11
이**농장,한우,경상북도 청도군 매전면 송원리 ,7,2026-05-11
이**농장,한우,경상북도 청도군 매전면 송원리 ,6,2026-05-11
김**농장,한우,경상북도 청도군 매전면 온막리 ,120,2026-05-11
이**농장,한우,경상북도 청도군 매전면 온막리 ,50,2026-05-11
권**농장,한우,경상북도 청도군 매전면 온막리 ,371,2026-05-11
솔**농장,한우,경상북도 청도군 매전면 온막리 ,35,2026-05-11
청**목장,한우,경상북도 청도군 매전면 온막리 ,11,2026-05-11
종**농장,한우,경상북도 청도군 매전면 온막리 ,11,2026-05-11
유**농원,한우,경상북도 청도군 매전면 온막리 ,8,2026-05-11
안**농장,한우,경상북도 청도군 매전면 온막리 ,0,2026-05-11
용**농장,한우,경상북도 청도군 매전면 용산리 ,10,2026-05-11
박**농장,한우,경상북도 청도군 매전면 용산리 ,24,2026-05-11
달**농장,한우,경상북도 청도군 매전면 용산리 ,66,2026-05-11
빈**농장,한우,경상북도 청도군 매전면 용산리 ,5,2026-05-11
청**목장,한우,경상북도 청도군 매전면 장연리 ,23,2026-05-11
경**농장,한우,경상북도 청도군 매전면 장연리 ,30,2026-05-11
장**농장,한우,경상북도 청도군 매전면 장연리 ,28,2026-05-11
정**농장,한우,경상북도 청도군 매전면 지전리 ,12,2026-05-11
승**농장,한우,경상북도 청도군 매전면 지전리 ,14,2026-05-11
김**,한우,경상북도 청도군 매전면 하평리 ,1,2026-05-11
하**농장,한우,경상북도 청도군 매전면 하평리 ,0,2026-05-11
청**농장,한우,경상북도 청도군 매전면 하평리 ,0,2026-05-11
호**목장,한우,경상북도 청도군 매전면 호화리 ,56,2026-05-11
흥**우원,한우,경상북도 청도군 매전면 호화리 ,62,2026-05-11
은**농장,한우,경상북도 청도군 매전면 호화리 ,40,2026-05-11
김**농장,한우,경상북도 청도군 매전면 호화리 ,20,2026-05-11
김**농장,한우,경상북도 청도군 운문면 방지리 ,24,2026-05-11
돌**농장,한우,경상북도 청도군 운문면 방지리 ,6,2026-05-11
운**농장,한우,경상북도 청도군 운문면 방지리 ,37,2026-05-11
야**농장,한우,경상북도 청도군 운문면 정상리 ,9,2026-05-11
박**농장,한우,경상북도 청도군 운문면 정상리 ,23,2026-05-11
승**농장,한우,경상북도 청도군 이서면 가금리 ,70,2026-05-11
영**농장,한우,경상북도 청도군 이서면 가금리 ,50,2026-05-11
칠**농장,한우,경상북도 청도군 이서면 가금리 ,80,2026-05-11
가**농장,한우,경상북도 청도군 이서면 가금리 ,20,2026-05-11
대**축산,한우,경상북도 청도군 이서면 가금리 ,130,2026-05-11
김**농장,한우,경상북도 청도군 이서면 가금리 ,10,2026-05-11
우**목장,한우,경상북도 청도군 이서면 가금리 ,50,2026-05-11
D**farm,한우,경상북도 청도군 이서면 가금리 ,0,2026-05-11
칠**농장,한우,경상북도 청도군 이서면 가금리 ,0,2026-05-11
이**목장,한우,경상북도 청도군 이서면 가금리 ,0,2026-05-11
도**목장,한우,경상북도 청도군 이서면 각계리 ,0,2026-05-11
경**농장,한우,경상북도 청도군 이서면 고철리 ,35,2026-05-11
거**농장,한우,경상북도 청도군 이서면 고철리 ,50,2026-05-11
구**목장,한우,경상북도 청도군 이서면 구라리 ,130,2026-05-11
창**농장,한우,경상북도 청도군 이서면 구라리 ,50,2026-05-11
김**축산,한우,경상북도 청도군 이서면 구라리 ,15,2026-05-11
