사업장명칭,주사육업종,사업장소재지,적정사육두수
최성훈농장,한우,전라남도 보성군 웅치면 ,4
정용상농장,한우,전라남도 보성군 회천면 ,3
석현농장,한우,전라남도 보성군 회천면 ,8
황의복농장,한우,전라남도 보성군 조성면 ,7
임재명농장,한우,전라남도 보성군 보성읍 ,25
박형호농장,한우,전라남도 보성군 미력면 ,1
박동호농장,한우,전라남도 보성군 미력면 ,7
이숙재농장,한우,전라남도 보성군 보성읍 ,12
박해동농장,한우,전라남도 보성군 보성읍 ,0
박대현농장,한우,전라남도 보성군 보성읍 ,1
손순종농장,한우,전라남도 보성군 보성읍 ,64
문병철농장,한우,전라남도 보성군 보성읍 ,2
안규담농장,한우,전라남도 보성군 보성읍 ,43
안나영농장,한우,전라남도 보성군 보성읍 ,3
종삼농장,한우,전라남도 보성군 보성읍 ,13
김영한농장,한우,전라남도 보성군 보성읍 ,20
김진택농장,한우,전라남도 보성군 웅치면 ,19
정옥순농장,한우,전라남도 보성군 웅치면 ,3
임병관농장,한우,전라남도 보성군 웅치면 ,4
김영선농장,한우,전라남도 보성군 웅치면 ,2
손요섭농장,한우,전라남도 보성군 웅치면 ,10
안준환농장,한우,전라남도 보성군 웅치면 ,3
김재식농장,한우,전라남도 보성군 조성면 ,1
김영복농장,한우,전라남도 보성군 조성면 ,3
최명수농장,한우,전라남도 보성군 조성면 ,2
김현준농장,한우,전라남도 보성군 조성면 ,64
김인환농장,한우,전라남도 보성군 조성면 ,5
김삼일농장,한우,전라남도 보성군 조성면 ,14
최경심농장,한우,전라남도 보성군 문덕면 ,9
김경술농장,한우,전라남도 보성군 문덕면 ,3
태산농장,한우,전라남도 보성군 보성읍 ,95
소의춘농장,한우,전라남도 보성군 벌교읍 ,3
정춘임농장,한우,전라남도 보성군 겸백면 ,14
문복남농장,한우,전라남도 보성군 복내면 ,0
안해님농장,한우,전라남도 보성군 웅치면 ,25
조정현농장,한우,전라남도 보성군 율어면 ,1
대영흑염소농장,산양,전라남도 보성군 미력면 ,0
삼양흑염소농장,염소,전라남도 보성군 미력면 ,0
박양자농장,한우,전라남도 보성군 벌교읍 ,41
월산농장,산양,전라남도 보성군 조성면 ,0
조안농장,한우,전라남도 보성군 겸백면 ,48
참살이 한우축산,한우,전라남도 보성군 벌교읍 ,145
오광록농장,염소,전라남도 보성군 벌교읍 ,0
김종옥농장,한우,전라남도 보성군 벌교읍 ,25
박종삼농장,한우,전라남도 보성군 벌교읍 ,5
김진욱농장,타조,전라남도 보성군 미력면 ,0
송길순농장,한우,전라남도 보성군 조성면 ,39
서인환농장,염소,전라남도 보성군 벌교읍 ,0
박인균농장,한우,전라남도 보성군 복내면 ,2
늘푸른흑염소2농장,산양,전라남도 보성군 노동면 ,0
산심농장,한우,전라남도 보성군 보성읍 ,36
비가리농장,한우,전라남도 보성군 보성읍 ,43
모암농장,한우,전라남도 보성군 율어면 ,23
염인열농장,한우,전라남도 보성군 문덕면 ,2
도촌농장,한우,전라남도 보성군 득량면 ,84
일주농장,육계,전라남도 보성군 벌교읍 ,297792
누리팜,육계,전라남도 보성군 보성읍 ,336311
최용순농장,한우,전라남도 보성군 벌교읍 ,4
강정옥농장,한우,전라남도 보성군 벌교읍 ,32
박종복농장,한우,전라남도 보성군 벌교읍 ,7
김종출농장,한우,전라남도 보성군 벌교읍 ,14
양승우농장,한우,전라남도 보성군 벌교읍 ,8
오종임농장,한우,전라남도 보성군 벌교읍 ,2
월정축산,한우,전라남도 보성군 벌교읍 ,26
전일남농장,한우,전라남도 보성군 벌교읍 ,4
김용출농장,한우,전라남도 보성군 벌교읍 ,6
정명남농장,한우,전라남도 보성군 벌교읍 ,93
서원진농장,한우,전라남도 보성군 벌교읍 ,2
서남철농장,한우,전라남도 보성군 벌교읍 ,3
서형수농장,한우,전라남도 보성군 벌교읍 ,6
이지평농장,한우,전라남도 보성군 벌교읍 ,2
김종연농장,한우,전라남도 보성군 벌교읍 ,7
조휘옥농장,한우,전라남도 보성군 벌교읍 ,9
이기순농장,한우,전라남도 보성군 벌교읍 ,30
오육현농장,한우,전라남도 보성군 벌교읍 ,7
이막수농장,한우,전라남도 보성군 벌교읍 ,3
박점규농장,한우,전라남도 보성군 벌교읍 ,2
배성모농장,한우,전라남도 보성군 벌교읍 ,6
임동호농장,한우,전라남도 보성군 보성읍 ,16
박기승농장,한우,전라남도 보성군 보성읍 ,8
봉골 흑염소농장,산양,전라남도 보성군 회천면 ,0
염동용농장,한우,전라남도 보성군 복내면 ,13
조기례농장,한우,전라남도 보성군 복내면 ,5
윤종근농장,한우,전라남도 보성군 복내면 ,5
소문길농장,한우,전라남도 보성군 복내면 ,10
김종기농장,한우,전라남도 보성군 복내면 ,8
호남봉희축사,한우,전라남도 보성군 득량면 ,12
김원일농장,한우,전라남도 보성군 득량면 ,8
김준현농가,한우,전라남도 보성군 득량면 ,20
강병길농장,한우,전라남도 보성군 득량면 ,34
정종해농장,한우,전라남도 보성군 득량면 ,2
정종순농장,한우,전라남도 보성군 웅치면 ,7
김록중농장,한우,전라남도 보성군 웅치면 ,5
안상철농장,한우,전라남도 보성군 웅치면 ,23
박용수농장,한우,전라남도 보성군 웅치면 ,5
안상길농장,한우,전라남도 보성군 웅치면 ,16
임병주농장,한우,전라남도 보성군 웅치면 ,5
