연번,사업장명칭,주사육업종,등록축종,사업장소재지
71,남성축산,한우,한우,전라남도 영광군 염산면
72,승호농장,한우,한우,전라남도 영광군 불갑면
73,태균농장,육계,육계,전라남도 영광군 백수읍
74,대신농장,육계,육계,전라남도 영광군 백수읍
75,문주농장,육계,육계,전라남도 영광군 대마면
76,원기농장,육계,육계,전라남도 영광군 묘량면
77,하늘네 농장,육계,육계,전라남도 영광군 묘량면
78,승빈농원,육계,육계,전라남도 영광군 영광읍
79,양성농장,육계,육계,전라남도 영광군 백수읍
80,백억농장,육계,육계,전라남도 영광군 군서면
81,월암축산,육계,육계,전라남도 영광군 염산면
82,송강영농장,한우,한우,전라남도 영광군 군남면
83,덕산농장,육계,육계,전라남도 영광군 군서면
84,송학농장,육계,육계,전라남도 영광군 군서면
85,유진농장,한우,한우,전라남도 영광군 염산면
86,진농장,육계,육계,전라남도 영광군 염산면
87,상하평화목장,젖소,젖소,전라남도 영광군 군서면
88,소영농장,육계,육계,전라남도 영광군 군서면
89,광현농장,한우,한우,전라남도 영광군 백수읍
90,피그존,돼지,돼지,전라남도 영광군 군서면
91,황규영농장,한우,한우,전라남도 영광군 홍농읍
92,성천농장,육계,육계,전라남도 영광군 염산면
93,정연축산,한우,한우,전라남도 영광군 백수읍
94,백삼프로농장,육계,육계,전라남도 영광군 군서면
95,대호농장,한우,한우,전라남도 영광군 백수읍
96,새희망 농장,육계,육계,전라남도 영광군 법성면
97,금오축산,돼지,돼지,전라남도 영광군 묘량면
98,금호농장,육계,육계,전라남도 영광군 영광읍
99,영호농장,한우,한우,전라남도 영광군 영광읍
100,와룡목장,젖소,젖소,전라남도 영광군 영광읍
101,강운봉농장,육계,육계,전라남도 영광군 염산면
102,백제농장,한우,한우,전라남도 영광군 영광읍
103,우성농장,한우,한우,전라남도 영광군 법성면
104,지안축사,한우,한우,전라남도 영광군 법성면
105,형우축산,한우,한우,전라남도 영광군 법성면
106,은이농장,돼지,돼지,전라남도 영광군 묘량면
107,연동축산,돼지,돼지,전라남도 영광군 영광읍
108,영산농장,한우,한우,전라남도 영광군 불갑면
109,정원농장,한우,한우,전라남도 영광군 불갑면
110,운제농장,한우,한우,전라남도 영광군 불갑면
111,한실축사,한우,한우,전라남도 영광군 군서면
112,서항근농장,한우,한우,전라남도 영광군 묘량면
113,청산농장,한우,한우,전라남도 영광군 묘량면
114,재이농장,한우,한우,전라남도 영광군 영광읍
115,가을농장,한우,한우,전라남도 영광군 불갑면
116,김민환농장,한우,한우,전라남도 영광군 홍농읍
117,효광농장,한우,한우,전라남도 영광군 법성면
118,박봉식농장,한우,한우,전라남도 영광군 백수읍
119,박봉선농장,한우,한우,전라남도 영광군 백수읍
120,명운농장,한우,한우,전라남도 영광군 백수읍
121,덕흥축산,한우,한우,전라남도 영광군 법성면
122,신정농장,한우,한우,전라남도 영광군 묘량면
123,상오영농조합법인,한우,한우,전라남도 영광군 염산면
124,백수영농조합법인,한우,한우,전라남도 영광군 백수읍
125,입동목장,젖소,젖소,전라남도 영광군 영광읍
126,호산나농장,젖소,젖소,전라남도 영광군 대마면
127,백동목장,젖소,젖소,전라남도 영광군 영광읍
128,연동목장,젖소,젖소,전라남도 영광군 영광읍
129,지성목장,한우,,전라남도 영광군 군서면
130,황토축산,한우,한우,전라남도 영광군 홍농읍
131,이관재농장,한우,한우,전라남도 영광군 홍농읍
132,두우리농장,한우,한우,전라남도 영광군 염산면
133,석산축산,한우,한우,전라남도 영광군 군서면
134,양지농장,한우,한우,전라남도 영광군 군서면
135,안골농장,한우,한우,전라남도 영광군 군서면
136,상화농장,돼지,돼지,전라남도 영광군 대마면
137,태청산농장,한우,한우,전라남도 영광군 영광읍
138,와룡축산1,한우,한우,전라남도 영광군 영광읍
139,이천농장,한우,한우,전라남도 영광군 영광읍
140,진월농장,젖소,젖소,전라남도 영광군 묘량면
141,입석목장,젖소,젖소,전라남도 영광군 영광읍
142,상하하영목장,젖소,"한우, 젖소",전라남도 영광군 불갑면
143,양평한우,한우,한우,전라남도 영광군 영광읍
144,태청목장,한우,"한우, 육우",전라남도 영광군 대마면
145,최일환농장,한우,한우,전라남도 영광군 염산면
146,박흥용농장,한우,한우,전라남도 영광군 염산면
147,한재천농장,한우,한우,전라남도 영광군 염산면
148,애예은농장,한우,"한우, 염소",전라남도 영광군 군남면
