가축종,지번주소,도로명주소,사육두수,축산면적,데이터기준일자
한우,경상남도 남해군 남면 상가리 460번지  ,경상남도 남해군 남면 남서대로 1000-19,5 ,240 ,2022-11-07
한우,경상남도 남해군 남해읍 평현리 598번지 2호  ,경상남도 남해군 남해읍 평현로 169,2 ,50 ,2022-11-07
한우,경상남도 남해군 고현면 대곡리 627번지  ,,21 ,300 ,2022-11-07
한우,경상남도 남해군 남해읍 평현리 1720번지 1호  ,경상남도 남해군 남해읍 스포츠로287번길 84-1,6 ,240 ,2022-11-07
한우,경상남도 남해군 창선면 오용리 369번지  ,경상남도 남해군 창선면 진동로 157-4,32 ,381 ,2022-11-07
한우,경상남도 남해군 창선면 옥천리 142번지  ,경상남도 남해군 창선면 옥천로 212-22,34 ,891 ,2022-11-07
한우,경상남도 남해군 서면 작장리 691번지  ,경상남도 남해군 서면 남서대로 1992-16,12 ,379 ,2022-11-07
한우,경상남도 남해군 이동면 다정리 산 179번지  ,경상남도 남해군 이동면 당넘로247번길 187,350 ,6622 ,2022-11-07
한우,경상남도 남해군 이동면 다정리 1291번지 1호  ,경상남도 남해군 이동면 남해대로2477번안길 15-2,2 ,51 ,2022-11-07
한우,경상남도 남해군 이동면 석평리 664번지 1호  ,경상남도 남해군 이동면 석평로58번길 4-120,166 ,1908 ,2022-11-07
한우,경상남도 남해군 남면 임포리 667번지 1호  ,경상남도 남해군 남면 남면로 1308-61,20 ,300 ,2022-11-07
한우,경상남도 남해군 서면 서상리 1403번지  ,경상남도 남해군 서면 남서대로1668번길 77-9,49 ,442 ,2022-11-07
한우,경상남도 남해군 남해읍 평리 159번지 3호  ,,105 ,1388 ,2022-11-07
한우,경상남도 남해군 삼동면 영지리 2555번지 4호  ,경상남도 남해군 삼동면 삼이로442번나길 9-1,30 ,131 ,2022-11-07
한우,경상남도 남해군 서면 서상리 1410번지 1호  ,경상남도 남해군 서면 남서대로1668번길 51-27,15 ,396 ,2022-11-07
한우,경상남도 남해군 고현면 대사리 1280번지  ,경상남도 남해군 고현면 남해대로3667번길 19-8,26 ,306 ,2022-11-07
한우,경상남도 남해군 남해읍 심천리 868번지 1호  ,경상남도 남해군 남해읍 남해대로2984번길 32-17,20 ,277 ,2022-11-07
한우,경상남도 남해군 이동면 초음리 399번지 2호 외 1필지 ,,15 ,235 ,2022-11-07
한우,경상남도 남해군 설천면 남양리 605번지 1호  ,경상남도 남해군 설천면 창남로 270-7,35 ,240 ,2022-11-07
한우,경상남도 남해군 서면 서상리 568번지  ,경상남도 남해군 서면 스포츠로660번길 50,15 ,190 ,2022-11-07
한우,경상남도 남해군 남면 죽전리 1506번지  ,경상남도 남해군 남면 남서대로 921-75,8 ,83 ,2022-11-07
한우,경상남도 남해군 남면 당항리 161번지  ,경상남도 남해군 남면 두양로150번길 99,46 ,672 ,2022-11-07
한우,경상남도 남해군 삼동면 금송리 787번지  ,경상남도 남해군 삼동면 동부대로 1699-26,8 ,328 ,2022-11-07
한우,경상남도 남해군 창선면 광천리 787번지  ,경상남도 남해군 창선면 서부로569번길 1-6,5 ,69 ,2022-11-07
염소,경상남도 남해군 서면 노구리 125번지 1호  ,경상남도 남해군 서면 남서대로2408번길 49-91,12 ,64 ,2022-11-07
한우,경상남도 남해군 서면 서호리 517번지  ,경상남도 남해군 서면 스포츠로542번길 35-31,5 ,146 ,2022-11-07
한우,경상남도 남해군 창선면 오용리 291번지 3호  ,경상남도 남해군 창선면 연곡로 48-87,8 ,841 ,2022-11-07
한우,경상남도 남해군 남해읍 아산리 1138번지 3호  ,경상남도 남해군 남해읍 망운로 167,10 ,99 ,2022-11-07
한우,경상남도 남해군 고현면 남치리 559번지 2호  ,경상남도 남해군 고현면 남치로177번길 16-67,87 ,1061 ,2022-11-07
한우,경상남도 남해군 서면 작장리 1362번지  ,경상남도 남해군 서면 남서대로2197번길 137,50 ,614 ,2022-11-07
한우,경상남도 남해군 고현면 도마리 1444번지 외 1필지 ,경상남도 남해군 고현면 남해대로 3301-33 (외 1필지),200 ,3314 ,2022-11-07
한우,경상남도 남해군 서면 노구리 627번지  ,,21 ,440 ,2022-11-07
한우,경상남도 남해군 남해읍 심천리 974번지  ,경상남도 남해군 남해읍 남해대로 2951-12,20 ,310 ,2022-11-07
한우,경상남도 남해군 고현면 남치리 544번지 3호  ,경상남도 남해군 고현면 남치로177번길 15-35,14 ,351 ,2022-11-07
,경상남도 남해군 고현면 차면리 784번지 1호  ,경상남도 남해군 고현면 남해대로3883번길 144-5,0 ,60 ,2022-11-07
한우,경상남도 남해군 고현면 포상리 798번지  ,경상남도 남해군 고현면 삼봉로257번길 30,11 ,162 ,2022-11-07
한우,경상남도 남해군 창선면 오용리 1291번지  ,,14 ,196 ,2022-11-07
한우,경상남도 남해군 창선면 상죽리 564번지  ,,9 ,103 ,2022-11-07
한우,경상남도 남해군 고현면 도마리 1303번지 4호  ,,10 ,385 ,2022-11-07
한우,경상남도 남해군 서면 대정리 1333번지  ,경상남도 남해군 서면 스포츠로475번길 58,19 ,206 ,2022-11-07
한우,경상남도 남해군 서면 서상리 산 3191번지  ,,6 ,112 ,2022-11-07
,경상남도 남해군 서면 서상리 201번지  ,경상남도 남해군 서면 남서대로1528번길 37-2,0 ,50 ,2022-11-07
한우,경상남도 남해군 서면 남상리 1472번지  ,경상남도 남해군 서면 남서대로2197번길 58-20,45 ,1145 ,2022-11-07
한우,경상남도 남해군 서면 노구리 834번지  ,경상남도 남해군 서면 남서대로2479번길 11-12,7 ,37 ,2022-11-07
한우,경상남도 남해군 서면 남상리 1338번지  ,경상남도 남해군 서면 남서대로2197번길 93,44 ,689 ,2022-11-07
한우,경상남도 남해군 서면 남상리 1267번지  ,경상남도 남해군 서면 남서대로2197번길 189-14,23 ,492 ,2022-11-07
한우,경상남도 남해군 서면 남상리 948번지  ,경상남도 남해군 서면 남서대로2255번길 20-3,6 ,98 ,2022-11-07
한우,경상남도 남해군 서면 남상리 1455번지  ,경상남도 남해군 서면 남서대로2255번길 42,27 ,224 ,2022-11-07
한우,경상남도 남해군 서면 남상리 908번지  ,경상남도 남해군 서면 남서대로 2233-17,2 ,99 ,2022-11-07
한우,경상남도 남해군 서면 노구리 620번지 3호  ,경상남도 남해군 서면 남서대로 2496-31,42 ,599 ,2022-11-07
한우,경상남도 남해군 서면 노구리 543번지 외2필지 ,경상남도 남해군 서면 남서대로 2524-15 (외2필지),13 ,1197 ,2022-11-07
한우,경상남도 남해군 서면 노구리 401번지  ,경상남도 남해군 서면 남서대로2545번길 87-38,17 ,219 ,2022-11-07
한우,경상남도 남해군 이동면 무림리 1636번지 1호  ,,12 ,90 ,2022-11-07
한우,경상남도 남해군 이동면 석평리 683번지  ,경상남도 남해군 이동면 남해대로2197번가길 4-35,10 ,387 ,2022-11-07
한우,경상남도 남해군 이동면 석평리 413번지  ,경상남도 남해군 이동면 남해대로2197번다길 11-2,9 ,165 ,2022-11-07
