시군명,농장명,축종명,사육두수,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
포천시,초록팜,돼지,1117,"경기도 포천시 군내면 반월산성로199번길 11, 등4필지(663,664-1,-3,666-1)","경기도 포천시 군내면 상성북리 663번지 등4필지(664-1,-3,666-1) ",,,2025-01-13
포천시,창수농장,돼지,2500,경기도 포천시 창수면 가영로150번길 91-34,경기도 포천시 창수면 가양리 181번지 2호  ,,,2025-01-13
포천시,보장팜,돼지,0,경기도 포천시 창수면 방골길 26-37,경기도 포천시 창수면 오가리 113번지 3호  ,,,2025-01-13
포천시,현진농장,돼지,1000,경기도 포천시 창수면 옥수로262번길 176-25,경기도 포천시 창수면 주원리 196번지 8호  ,,,2025-01-13
포천시,무지개축산,돼지,3000,경기도 포천시 화현면 문암동길 113,경기도 포천시 화현면 지현리 산 39번지 1호  ,,,2025-01-13
포천시,정호농장,돼지,450,경기도 포천시 일동면 무리울길 213-37,경기도 포천시 일동면 화대리  ,,,2025-01-13
포천시,까망께돈 흑돼지농장,돼지,750,경기도 포천시 일동면 화동로 609-33,경기도 포천시 일동면 유동리 75번지 1호  ,,,2025-01-13
포천시,인성축산,돼지,1000,경기도 포천시 신북면 포천로1967번길 25,"경기도 포천시 신북면 심곡리 449번지 1호 , -2, -12 ",,,2025-01-13
포천시,-,돼지,140,경기도 포천시 이동면 금강로6263번길 195,경기도 포천시 이동면 도평리 665번지  ,,,2025-01-13
포천시,-,돼지,61,경기도 포천시 내촌면 내진로155번길 25-11,경기도 포천시 내촌면 진목리 538번지  ,,,2025-01-13
포천시,진양농장,돼지,840,경기도 포천시 일동면 사당말6길 80,경기도 포천시 일동면 사직리 152번지 2호  ,,,2025-01-13
포천시,영신농장,돼지,1000,경기도 포천시 영북면 북원로166번길 23,경기도 포천시 영북면 자일리 690번지 1호  ,,,2025-01-13
포천시,천호농장,돼지,2300,경기도 포천시 이동면 화동로1723번길 57,"경기도 포천시 이동면 연곡리 1135번지 ,1136,1133,1134-2 ",,,2025-01-13
포천시,보림축산,돼지,850,경기도 포천시 가산면 마현3길 129,경기도 포천시 가산면 금현리 406번지  ,,,2025-01-13
포천시,한탄강 JC팜,돼지,2400,경기도 포천시 영북면 북원로166번길 77-44,경기도 포천시 영북면 자일리 1014번지 4호  ,,,2025-01-13
포천시,덕양농장,돼지,300,경기도 포천시 가산면 마현3길 106,경기도 포천시 가산면 금현리 389번지 2호  ,,,2025-01-13
포천시,베스트팜농장,돼지,2732,경기도 포천시 창수면 가영로150번길 91-34 (외3필지(-3.-4.-5)),경기도 포천시 창수면 가양리 181번지 2호 외3필지(-3.-4.-5) ,,,2025-01-13
포천시,칠성농장,돼지,1250,,경기도 포천시 일동면 사직리 152번지  ,,,2025-01-13
