농장명,축종명,사육두수,소재지도로명주소,소재지지번주소
도암농업회사법인,돼지,5195,경기도 안성시 보개면 보삼로 230-6,경기도 안성시 보개면 북가현리 206번지 외 7필지 
해돈농장,돼지,3450,"경기도 안성시 일죽면 화곡길 27-25, (외 20필지)",경기도 안성시 일죽면 화곡리 288번지 외 20필지 
농업회사법인 성원팜 주식회사,돼지,1400,경기도 안성시 미양면 안골길 53,경기도 안성시 미양면 갈전리 8번지  
태산농장,돼지,1500,경기도 안성시 일죽면 죽화로 112-40,경기도 안성시 일죽면 고은리 1158번지 3호 외 1필지 
민기농장,돼지,1500,경기도 안성시 삼죽면 서동대로 6172-89,"경기도 안성시 삼죽면 미장리 12, 14, 17, 18 "
대성농장,돼지,1500,경기도 안성시 삼죽면 서동대로 6362-56,경기도 안성시 삼죽면 진촌리 187번지  
농업회사법인 (주)클론메드,돼지,600,경기도 안성시 일죽면 국동길 78-27,경기도 안성시 일죽면 능국리 115번지 1호  
전진농장,돼지,1700,경기도 안성시 양성면 지남촌길 27-120,경기도 안성시 양성면 덕봉리 687번지 10호  
농업회사법인 동화농산(주)안성,돼지,5634,경기도 안성시 죽산면 걸미로 145-56,경기도 안성시 죽산면 두교리 377번지  
노엘농장,돼지,1800,경기도 안성시 죽산면 두평길 1-107,경기도 안성시 죽산면 장계리 61번지 1호 외 1필지(63번지) 
계림축산,돼지,1500,경기도 안성시 일죽면 장암초교길 102-32,경기도 안성시 일죽면 장암리 510번지  
태광농장,돼지,2500,경기도 안성시 미양면 중앙배수1길 170-28,경기도 안성시 미양면 정동리 524번지 11호  
더존햇살코리아,돼지,2000,경기도 안성시 미양면 중앙배수1길 170-12,경기도 안성시 미양면 정동리 524번지 15호  
태현농장,돼지,950,경기도 안성시 일죽면 장암초교길 50-29,경기도 안성시 일죽면 장암리 413번지 1호  
신태양농장,돼지,800,경기도 안성시 일죽면 장암초교길 102-79,경기도 안성시 일죽면 월정리 1707번지  
라온제나팜스,돼지,0,경기도 안성시 일죽면 장암로 24-21,"경기도 안성시 일죽면 장암리 44번지 1호 , 44-2 "
번성팜,돼지,1250,경기도 안성시 죽산면 하구산길 154,경기도 안성시 죽산면 매산리 992번지  
제2문호농장,돼지,1100,경기도 안성시 일죽면 소라태길 93,경기도 안성시 일죽면 월정리 358번지 외1필지 
거니양돈,돼지,1410,경기도 안성시 서운면 신촌리 282번지 1호 외 2필지 ,경기도 안성시 서운면 신촌리 282번지 1호 외 2필지 
찬양축산,돼지,675,경기도 안성시 대덕면 시미실길 154,경기도 안성시 대덕면 보동리 307번지 1호 외1필지 
삼죽농장,돼지,500,경기도 안성시 삼죽면 상삼로 199,경기도 안성시 삼죽면 내장리 20번지 외 1필지 
재현농장,돼지,2000,경기도 안성시 삼죽면 상삼로 259,"경기도 안성시 삼죽면 내장리 66번지 , 72, 33, 33-1 "
도담농장,돼지,800,경기도 안성시 죽산면 하구산길 178-37,경기도 안성시 죽산면 매산리 957번지 외 1필지 
서영농장,돼지,1543,경기도 안성시 일죽면 죽화로 44-77,경기도 안성시 일죽면 고은리 1153번지 10호  
지팜얼라이언스 농업회사법인(주),돼지,6000,경기도 안성시 일죽면 사실로 225-49,경기도 안성시 일죽면 방초리 139번지  
도드람농장,돼지,300,경기도 안성시 일죽면 죽화로 110-77 (외2필지),경기도 안성시 일죽면 고은리 806번지 20호 외2필지 
구성농장(미양점),돼지,6396,경기도 안성시 미양면 중앙배수1길 106-26,경기도 안성시 미양면 정동리 507번지 10호 외4필지 
