농장명,농장주,축종명,사육두수(두),농장소재지
김용휘,김*휘,육계,200,전라남도 순천시 월등면 계월리
대주 농장,강*석,한우,45,전라남도 순천시 낙안면 이곡리
우자 축산,강*자,한우,15,전라남도 순천시 별량면 두고리
종일이네 축산,김*일,한우,4,전라남도 순천시 별량면 동송리
구룡 축사,주*석,한우,25,전라남도 순천시 별량면 구룡리
윤경한 농장,윤*한,한우,16,전라남도 순천시 해룡면 선학리
채성묵 농장,채*묵,한우,7,전라남도 순천시 해룡면 선학리
이종근 농장,이*근,한우,15,전라남도 순천시 황전면 회룡리
김만휘 농장,김*휘,한우,33,전라남도 순천시 황전면 봉덕리
양지농장,라*호,한우,160,전라남도 순천시 황전면 선변리
이자근 농장,이*근,한우,5,전라남도 순천시 외서면 신덕리
선유주 농장,선*주,한우,12,전라남도 순천시 외서면 장산리
현지네 축산,박*복,한우,8,전라남도 순천시 별량면 동송리
유동만 농장,유*만,한우,10,전라남도 순천시 별량면 송학리
이영신 농장,이*신,한우,25,전라남도 순천시 외서면 신덕리
병운 농장,박*운,한우,4,전라남도 순천시 황전면 비촌리
월림 농장,유*록,한우,7,전라남도 순천시 월등면 월림리
김경태 농장,김*태,한우,40,전라남도 순천시 낙안면 용능리
정성주 농장,정*주,한우,7,전라남도 순천시 승주읍 서평리
한우 농장,조*기,한우,31,전라남도 순천시 황전면 내구리
홍내 축산,이*군,한우,25,전라남도 순천시 홍내동
장계석 농장,장*술,한우,37,전라남도 순천시 월등면 농선리
손병곤 농장,손*곤,한우,10,전라남도 순천시 황전면 선변리
건우 농장,조*익,한우,21,전라남도 순천시 황전면 모전리
팜스토리 백록농장,농업회사팜스토리주식회사,종계/산란계,5000,전라남도 순천시 주암면 백록리
한마음 농장,한*배,한우,16,전라남도 순천시 별량면 대룡리
박길수 농장,박*수,한우,2,전라남도 순천시 월등면 송천리
석진 농장,권*근,한우,26,전라남도 순천시 승주읍 신전리
박용만 농장,박*만,한우,17,전라남도 순천시 승주읍 도정리
장기호 농장,장*호,한우,2,전라남도 순천시 승주읍 도정리
최문수 농장,최*수,한우,10,전라남도 순천시 낙안면 이곡리
이경휘 농장,이*휘,한우,3,전라남도 순천시 낙안면 용능리
목촌 농장,한*섭,한우,7,전라남도 순천시 낙안면 목촌리
김광중 농장,김*중,한우,10,전라남도 순천시 낙안면 검암리
이경재 농장,이*재,한우,21,전라남도 순천시 황전면 비촌리
모아 축산,김*석,한우,5,전라남도 순천시 서면 지본리
하나농장,이*열,한우,80,전라남도 순천시 월등면 월용리
마륜 농장,최*순,한우,14,전라남도 순천시 상사면 마륜리
현대 농장,박*석,육계,1500,전라남도 순천시 교량동
정일호 농장,정*호,한우,13,전라남도 순천시 별량면 우산리
부현 농장,박*창,한우,12,전라남도 순천시 해룡면 상내리
부부 축산,추*임,한우,8,전라남도 순천시 낙안면 신기리
길훈 농장,조*훈,한우,10,전라남도 순천시 주암면 복다리
조봉운 농장,조*운,한우,13,전라남도 순천시 황전면 평촌리
정순아 농장,정*아,한우,13,전라남도 순천시 황전면 회룡리
최봉환 농장,최*환,한우,22,전라남도 순천시 황전면 회룡리
정영남 농장,정*남,한우,12,전라남도 순천시 안풍동
