사업장명칭,등록축종,사업장소재지(지번),사업장소재지(도로명),사육두수,동수,면적,데이터기준일자
오룡목장,한우,충청북도 음성군 금왕읍 용계리 323번지 4호  ,충청북도 음성군 금왕읍 오룡길 21,70 ,5 ,1406 ,2024-08-24
삼봉목장,한우,충청북도 음성군 금왕읍 삼봉리 241번지 6호  ,충청북도 음성군 금왕읍 유삼길 31,20 ,3 ,993 ,2024-08-24
신흥목장,한우,충청북도 음성군 금왕읍 봉곡리 202번지  ,충청북도 음성군 금왕읍 구개천길108번길 30,29 ,1 ,681 ,2024-08-24
보원목장,육우,충청북도 음성군 원남면 문암리 752번지 3호  ,,22 ,3 ,701 ,2024-08-24
일월성농장,한우,"충청북도 음성군 생극면 팔성리 507번지 1호 507-3, 507-5, 505-2, 506 ",,320 ,10 ,3230 ,2024-08-24
성은농장,육계,충청북도 음성군 감곡면 상평리 520번지  ,충청북도 음성군 감곡면 능안로 397-30,40000 ,4 ,2240 ,2024-08-24
한서농장,육계,충청북도 음성군 금왕읍 호산리 11번지  ,충청북도 음성군 금왕읍 일생로 321-16,40000 ,7 ,2733 ,2024-08-24
한아름목장,젖소,충청북도 음성군 생극면 송곡리 산 7번지 3호  ,충청북도 음성군 생극면 송곡길38번길 192-24,100 ,4 ,2412 ,2024-08-24
선진목장,젖소,충청북도 음성군 감곡면 영산리 219번지 외 1필지 ,충청북도 음성군 감곡면 영산안길 52,87 ,4 ,2181 ,2024-08-24
파랑새농장,육계,충청북도 음성군 대소면 미곡리 122번지 외 1필지 ,충청북도 음성군 대소면 한삼로87번길 196,40000 ,3 ,2310 ,2024-08-24
행운농장,육계,충청북도 음성군 음성읍 소여리 86번지 1호  ,,34700 ,4 ,1750 ,2024-08-24
덕생농장,육계,충청북도 음성군 음성읍 삼생리 342번지  ,충청북도 음성군 음성읍 덕생로504번길 92,37830 ,4 ,1645 ,2024-08-24
기쁨농장,육계,충청북도 음성군 금왕읍 봉곡리 143번지 1호  ,,40000 ,4 ,2184 ,2024-08-24
이석농장,한우,충청북도 음성군 금왕읍 오선리 351번지 2호 외 1필지 ,충청북도 음성군 금왕읍 봉곡길 164-28,20 ,2 ,1697 ,2024-08-24
아람농장,육계,충청북도 음성군 맹동면 봉현리 278번지  ,충청북도 음성군 맹동면 대동로 288-9,35922 ,3 ,2794 ,2024-08-24
자영농장,한우,"충청북도 음성군 삼성면 선정리 169번지 8호 169-8,9,10,12,13 ",충청북도 음성군 삼성면 선정로118번길 68-8,109 ,4 ,3044 ,2024-08-24
생극농장,돼지,충청북도 음성군 생극면 임곡리 22번지 1호  ,충청북도 음성군 생극면 임곡길 168-50,2696 ,5 ,2110 ,2024-08-24
대성목장,"한우, 육우",충청북도 음성군 금왕읍 호산리 230번지 1호  ,충청북도 음성군 금왕읍 덕호로 611,91 ,2 ,782 ,2024-08-24
호산농장,육계,충청북도 음성군 금왕읍 호산리 575번지 3호  ,충청북도 음성군 금왕읍 생삼로 624-14,40000 ,3 ,2054 ,2024-08-24
가락농장,한우,충청북도 음성군 소이면 충도리 1087번지  ,충청북도 음성군 소이면 충도로 603-30,29 ,2 ,1330 ,2024-08-24
행복농장,육계,충청북도 음성군 소이면 봉전리 368번지 2호  ,충청북도 음성군 소이면 한불로 684,35000 ,3 ,1998 ,2024-08-24
갑산농장,육계,충청북도 음성군 소이면 갑산리 264번지 1호 외 1필지(266번지) ,충청북도 음성군 소이면 갑산중동로 50,70000 ,5 ,3164 ,2024-08-24
현수농장,한우,충청북도 음성군 삼성면 대정리 595번지 1호  ,충청북도 음성군 삼성면 대정길11번길 23-16,21 ,2 ,368 ,2024-08-24
태수농장,한우,"충청북도 음성군 삼성면 선정리 517번지 외 2필지(517-4, 916) ",충청북도 음성군 삼성면 대성로380번길 72-4,173 ,5 ,2510 ,2024-08-24
장희농장,육우,충청북도 음성군 삼성면 용대리 114번지 1호 외 1필지 ,충청북도 음성군 삼성면 덕호로 487,68 ,2 ,576 ,2024-08-24
