사업장명칭,등록축종,사업장소재지(지번),사업장소재지(도로명),사육두수,동수,면적,데이터기준일자
일광목장,한우,충청북도 음성군 생극면 팔성리 485번지  ,충청북도 음성군 생극면 토끼실길 69,238 ,3 ,931 ,2024-08-24
장자농장,한우,충청북도 음성군 금왕읍 용계리 440번지 1호  ,충청북도 음성군 금왕읍 대금로1278번길 32-1,50 ,2 ,1344 ,2024-08-24
덕동오리농장,오리,충청북도 음성군 금왕읍 각회리 537번지  ,충청북도 음성군 금왕읍 각구실길223번길 205,6500 ,7 ,2471 ,2024-08-24
푸른농장,한우,충청북도 음성군 삼성면 청용리 67번지  ,충청북도 음성군 삼성면 삼양로249번길 48-31,44 ,5 ,1936 ,2024-08-24
덕우한우농장,한우,충청북도 음성군 삼성면 양덕리 432번지  ,충청북도 음성군 삼성면 삼양로 30,153 ,3 ,1152 ,2024-08-24
한진농장,"한우, 육우",충청북도 음성군 삼성면 청용리 65번지  ,,150 ,3 ,2357 ,2024-08-24
육우농장,육우,충청북도 음성군 삼성면 용대리 568번지  ,충청북도 음성군 삼성면 덕호로474번길 46,16 ,2 ,333 ,2024-08-24
상원목장,한우,충청북도 음성군 대소면 태생리 372번지  ,충청북도 음성군 대소면 대성로77번길 28,30 ,4 ,772 ,2024-08-24
용대농장,육우,충청북도 음성군 삼성면 용대리 56번지 1호  ,,60 ,1 ,429 ,2024-08-24
형제농장,젖소,충청북도 음성군 대소면 수태리 587번지 4호  ,충청북도 음성군 대소면 수태로106번길 52,25 ,6 ,1206 ,2024-08-24
문형목장,한우,충청북도 음성군 대소면 미곡리 212번지 8호  ,,87 ,3 ,1110 ,2024-08-24
명성농장,오리,충청북도 음성군 맹동면 용촌리 604번지 1호  ,충청북도 음성군 맹동면 덕금로87번길 111-39,14751 ,8 ,3629 ,2024-08-24
미나목장,한우,충청북도 음성군 생극면 관성리 1089번지 외 1필지 ,충청북도 음성군 생극면 생삼로 179-29,138 ,4 ,1380 ,2024-08-24
우리농장,돼지,충청북도 음성군 생극면 오생리 509번지 3호  ,충청북도 음성군 생극면 생오로 156,1000 ,4 ,1296 ,2024-08-24
남이목장,젖소,충청북도 음성군 감곡면 영산리 609번지 1호  ,충청북도 음성군 감곡면 영산로55번길 19-78,57 ,2 ,1153 ,2024-08-24
홍백농장,육계,충청북도 음성군 금왕읍 사창리 423번지 1호  ,충청북도 음성군 금왕읍 행제길 7-35,53000 ,3 ,1990 ,2024-08-24
영신농원,한우,충청북도 음성군 음성읍 석인리 45번지 9호  ,충청북도 음성군 음성읍 한불로305번길 36-2,77 ,2 ,776 ,2024-08-24
설피농장,한우,충청북도 음성군 소이면 중동리 287번지 1호  ,,17 ,1 ,424 ,2024-08-24
봉농장,한우,충청북도 음성군 소이면 봉전리 548번지 6호  ,충청북도 음성군 소이면 갑산로136번길 87-49,10 ,1 ,320 ,2024-08-24
황금농장,육계,충청북도 음성군 소이면 중동리 371번지 2호  ,,55000 ,3 ,2592 ,2024-08-24
우창농장,한우,충청북도 음성군 소이면 금고리 77번지  ,,25 ,1 ,320 ,2024-08-24
일산목장,한우,충청북도 음성군 소이면 갑산리 346번지  ,충청북도 음성군 소이면 갑산로135번길 84-37,60 ,3 ,1340 ,2024-08-24
청용축산,한우,충청북도 음성군 소이면 중동리 958번지  ,,5 ,1 ,49 ,2024-08-24
창성목장,한우,충청북도 음성군 소이면 금고리 25번지 3호  ,충청북도 음성군 소이면 금정길 41,30 ,1 ,222 ,2024-08-24
형제농장,육계,"충청북도 음성군 소이면 비산리 963번지 외 4필지(963-2, 963-3, 960, 960-3) ",충청북도 음성군 소이면 충청대로 1780-11,100000 ,3 ,4497 ,2024-08-24
