순번,사업장명칭,주사육업종,등록축종,사육두수,사업장소재지(도로명),데이터기준일자
245,무,한우,한우,5,경상남도 함양군 휴천면 금반길 110-21,2025-09-08
246,무,한우,한우,11,경상남도 함양군 휴천면 목현옥매로 82-1,2025-09-08
247,무,한우,한우,10,경상남도 함양군 휴천면 천왕봉로 2432,2025-09-08
248,무,한우,한우,74,경상남도 함양군 휴천면 목현옥매로 101-83,2025-09-08
249,고양터염소농장,산양,산양,300,경상남도 함양군 휴천면 송전길 495-32,2025-09-08
250,무,사슴,사슴,80,경상남도 함양군 유림면 안평길 92,2025-09-08
251,나막달농장,한우,한우,14,경상남도 함양군 유림면 회동길 11,2025-09-08
252,무,한우,한우,21,경상남도 함양군 유림면 유평화촌로 185-1,2025-09-08
253,무,한우,한우,7,경상남도 함양군 수동면 수남로 282,2025-09-08
254,무,한우,한우,19,경상남도 함양군 수동면 구시골길 39-1,2025-09-08
255,무,한우,한우,40,경상남도 함양군 안의면 안의도장골길 80-157,2025-09-08
256,무,한우,한우,6,경상남도 함양군 안의면 황대길 37-1,2025-09-08
257,무,한우,한우,15,경상남도 함양군 안의면 성동로 90,2025-09-08
258,무,산양,산양,60,경상남도 함양군 서상면 논개길 122-52,2025-09-08
259,무,한우,한우,2,"경상남도 함양군 백전면 구산대안로 110, 동식물관련시설",2025-09-08
260,무,한우,한우,1,경상남도 함양군 백전면 함양남서로 1960,2025-09-08
261,무,한우,한우,2,경상남도 함양군 지곡면 거평웃골길 125,2025-09-08
262,무,한우,한우,1,경상남도 함양군 지곡면 주곡길 52,2025-09-08
263,무,한우,한우+산양,10,경상남도 함양군 지곡면 신영길 72,2025-09-08
264,무,한우,한우,18,경상남도 함양군 지곡면 중촌길 115-1,2025-09-08
265,맥골한우영농조합법인,한우,한우,11,경상남도 함양군 지곡면 장감길 26-1,2025-09-08
266,머루돌이 농장,돼지,돼지,750,경상남도 함양군 수동면 강변로 37-72,2025-09-08
267,농업회사법인(주)운암,돼지,돼지,1800,경상남도 함양군 휴천면 호산리 78번지  ,2025-09-08
268,무,육계,육계,68000,경상남도 함양군 서상면 도천리 77번지 6호  ,2025-09-08
269,흙포크농장,돼지,돼지,2500,경상남도 함양군 수동면 하교내백로 613-102,2025-09-08
270,더지리산,오리,오리,2000,경상남도 함양군 수동면 우명하교로 283,2025-09-08
271,무,한우,한우,30,경상남도 함양군 수동면 내산길 28-15,2025-09-08
272,안의농장,돼지,돼지,900,경상남도 함양군 안의면 안의도장골길 266,2025-09-08
273,무,한우,한우,30,경상남도 함양군 함양읍 원구길 32,2025-09-08
274,농업회사법인 함양물레방아 흑돼지 유한회사,돼지,돼지,2500,경상남도 함양군 안의면 장자동길 40-263,2025-09-08
275,무,한우,한우,1,경상남도 함양군 병곡면 송평원산로 507,2025-09-08
276,무,한우,한우,6,경상남도 함양군 지곡면 보산로 246-3,2025-09-08
277,한빛농원,한우,한우,23,경상남도 함양군 함양읍 뇌산길 176-81,2025-09-08
278,무,한우,한우,40,경상남도 함양군 함양읍 거면들길 115,2025-09-08
279,무,한우,한우,50,경상남도 함양군 함양읍 거면강변길 106,2025-09-08
280,예담농장,종계+산란계,종계+산란계,750,경상남도 함양군 수동면 하교윗길 10,2025-09-08
281,우상목장,젖소,젖소,68,경상남도 함양군 지곡면 함양로 1558,2025-09-08
