사업장명칭,주사육업종,사업장소재지(지번), 사육두수 
진성목장,젖소,충청남도 예산군 고덕면 상몽리 128번지 1호 외4필지 ,65
명지목장,젖소,충청남도 예산군 고덕면 호음리 758번지  ,80
원형목장,젖소,충청남도 예산군 신양면 만사리 6번지 외4필지 ,98
동현농장,한우,충청남도 예산군 신양면 만사리 51번지  ,70
동우축산,한우,충청남도 예산군 신양면 만사리  ,50
범정목장,젖소,"충청남도 예산군 신양면 만사리 744번지 외 3필지(745, 746, 7461) ",280
재송목장,젖소,충청남도 예산군 신양면 불원리 95번지  ,50
재필농장,한우,충청남도 예산군 신양면 시왕리 125번지 2호  ,24
기정목장,한우,충청남도 예산군 덕산면 내라리 222번지 1호  ,42
시왕농장,산란육성계,충청남도 예산군 신양면 시왕리 337번지 1호 외1필지(338) ,55000
동숙목장,한우,"충청남도 예산군 신양면 차동리 135번지 외 4필지(136, 137, 140, 1401) ",37
시왕한우농장,한우,충청남도 예산군 신양면 시왕리 141번지 2호 외 1필지 ,95
시왕목장,젖소,"충청남도 예산군 신양면 시왕리 78번지 6호 외6필지( 783, 784, 787, 789, 79, 4373) ",117
동숙목장,한우,충청남도 예산군 신양면 죽천리 58번지 외3필지 ,78
신선농장,돼지,충청남도 예산군 오가면 분천리 8번지 42호 외 1필지(분천리 7) ,3500
대일농장,한우,충청남도 예산군 봉산면 대지리 269번지 외1필지(2682) ,50
청송농장,돼지,"충청남도 예산군 봉산면 봉림리 494번지 1호 외 5필지(4973, 4974, 4978, 498, 499) ",500
이레농장,돼지,"충청남도 예산군 오가면 오촌리 1번지 12호 외5필지(111,113,114,143,3611) ",1800
보경농장,한우,충청남도 예산군 오가면 오촌리 1번지 10호  ,45
진양목장,한우,충청남도 예산군 오가면 분천리 198번지 2호 외 1필지(1981) ,34
한아름농장,한우,충청남도 예산군 오가면 내량리 1번지 230호  ,170
동석농장,한우,충청남도 예산군 오가면 분천리 125번지 10호 외1필지(27) ,50
남경농장,한우,"충청남도 예산군 오가면 분천리 245번지 외 2필지(334, 335) ",75
동평농장,한우,충청남도 예산군 오가면 분천리 392번지 외 1필지 ,23
대성농장,한우,충청남도 예산군 삽교읍 안치리 296번지 27호  ,50
묵지농장,한우,충청남도 예산군 대술면 화산리 595번지 외1필지(593) ,100
대상농장,한우,"충청남도 예산군 신암면 용궁리 133번지 2호 외 4필지(1333,1334,134,146) ",60
선진농장,젖소,"충청남도 예산군 신암면 예림리 75번지 13호 외5필지(2,6,14,10218,45) ",130
차동농장,한우,"충청남도 예산군 신양면 차동리 543번지 외3필지(545,541,542) ",170
