사업장명칭,주사육업종,사업장소재지(지번)
보원농장,한우,경상남도 하동군 옥종면
광래축사,한우,경상남도 하동군 금성면
희망이크는농장,한우,경상남도 하동군 진교면
홍지농장,한우,경상남도 하동군 고전면
현석농장,한우,경상남도 하동군 금남면
명덕농장,한우,경상남도 하동군 금성면
목너머농장,한우,경상남도 하동군 고전면
동길농장,한우,경상남도 하동군 악양면
종순농장,한우,경상남도 하동군 양보면
종포농장,한우,경상남도 하동군 금남면
김석농장,한우,경상남도 하동군 금성면
궁터농장,한우,경상남도 하동군 횡천면
현순농장,한우,경상남도 하동군 양보면
산초농장,한우,경상남도 하동군 옥종면
문암농장,오리,경상남도 하동군 옥종면
상문2농장,오리,경상남도 하동군 옥종면
성호농장,한우,경상남도 하동군 옥종면
존수농장,한우,경상남도 하동군 악양면
영석2농장,한우,경상남도 하동군 진교면
하동농원,종계/산란계,경상남도 하동군 적량면
흥부농장,한우,경상남도 하동군 고전면
우정농장,한우,경상남도 하동군 악양면
봉수농장,한우,경상남도 하동군 진교면
대산축산,한우,경상남도 하동군 금남면
동홍축사,한우,경상남도 하동군 횡천면
한솔농장,육계,경상남도 하동군 북천면
토미농장,한우,경상남도 하동군 악양면
금촌농장,한우,경상남도 하동군 북천면
계천농장,한우,경상남도 하동군 금남면
정진농장,오리,경상남도 하동군 진교면
버들농장,한우,경상남도 하동군 청암면
기현농장,한우,경상남도 하동군 양보면
영수농장,한우,경상남도 하동군 양보면
정열농장,한우,경상남도 하동군 악양면
석근농장,한우,경상남도 하동군 청암면
둘연농장,한우,경상남도 하동군 양보면
이우농장,한우,경상남도 하동군 양보면
준태농장,한우,경상남도 하동군 옥종면
서울농장,한우,경상남도 하동군 금남면
동양농장,한우,경상남도 하동군 청암면
상문농장,오리,경상남도 하동군 옥종면
상봉농장,한우,경상남도 하동군 금성면
순기농장,한우,경상남도 하동군 금성면
양포농장,한우,경상남도 하동군 진교면
충만한농장,오리,경상남도 하동군 진교면
영옥농장,한우,경상남도 하동군 양보면
형현농장,한우,경상남도 하동군 양보면
