사업장소재지,축종,사육마릿수,사육면적,데이터기준일
충청남도 공주시 의당면 의당면 ,소,0,200,2026-06-08
충청남도 공주시 우성면 보흥리 ,소,41,350,2026-06-08
충청남도 공주시 우성면 안양리 ,소,70,640,2026-06-08
충청남도 공주시 우성면 목천리 ,소,37,299,2026-06-08
충청남도 공주시 검상동 검상동 ,소,5,600,2026-06-08
충청남도 공주시 탄천면 장선리 ,소,0,223,2026-06-08
충청남도 공주시 신풍면 백룡리 ,소,17,397.4,2026-06-08
충청남도 공주시 사곡면 대중리 ,소,0,399,2026-06-08
충청남도 공주시 사곡면 호계리 ,소,22,337,2026-06-08
충청남도 공주시 이인면 이인리 ,소,51,530,2026-06-08
충청남도 공주시 이인면 초봉리 ,소,14,272,2026-06-08
충청남도 공주시 우성면 용봉리 ,소,73,1458,2026-06-08
