시군명,농장명,축종명,사육두수,소재지도로명주소,소재지지번주소,데이터기준일자
여주시,로뎀농장,한우,142,경기도 여주시 점곡길 179 (멱곡동),"경기도 여주시 멱곡동 240번지 13호 외2필지(240-5,240-7) ",2026-06-18
여주시,만덕축산,한우,10,경기도 여주시 북벌로 99 (상거동),경기도 여주시 상거동 296번지 1호  ,2026-06-18
여주시,상교목장,한우,130,경기도 여주시 북내면 상교3길 26,경기도 여주시 북내면 상교리 223번지 외2필지 ,2026-06-18
여주시,황금농장,한우,11,,경기도 여주시 가남읍 금곡리 368번지 1호  ,2026-06-18
여주시,태영목장,한우,53,경기도 여주시 흥천면 대왕이길 124-17,경기도 여주시 흥천면 신근리 291번지 11호 외2필지 ,2026-06-18
여주시,정우농장,한우,5,경기도 여주시 세종대왕면 독골2길 24,경기도 여주시 세종대왕면 번도리 27번지  ,2026-06-18
여주시,덕재농장,한우,39,경기도 여주시 세종대왕면 오리울길 31-14,"경기도 여주시 세종대왕면 오계리 505번지 1호 외 2필지(-2, 506) ",2026-06-18
여주시,에덴농장,한우,21,경기도 여주시 점동면 선사길 221-1,경기도 여주시 점동면 흔암리 153번지 1호  ,2026-06-18
여주시,홍욱농장,한우,10,경기도 여주시 가남읍 가남로 866-44,경기도 여주시 가남읍 금곡리 255번지 1호  ,2026-06-18
여주시,재훈농장,한우,2,경기도 여주시 세종대왕면 새미실2길 40-2,경기도 여주시 세종대왕면 신지리 118번지  ,2026-06-18
여주시,장수농장,한우,7,,경기도 여주시 세종대왕면 내양리 346번지 53호  ,2026-06-18
여주시,대건농장,한우,3,경기도 여주시 대신면 송촌3길 78,경기도 여주시 대신면 송촌리 137번지  ,2026-06-18
여주시,모훈농장,한우,7,경기도 여주시 대신면 천서2길 53,경기도 여주시 대신면 천서리 179번지  ,2026-06-18
여주시,미진농장,한우,3,경기도 여주시 대신면 상구1길 8-16,경기도 여주시 대신면 상구리 327번지  ,2026-06-18
여주시,재원농장,한우,30,,경기도 여주시 대신면 계림리 315번지 외1필지 ,2026-06-18
여주시,당남농장,한우,5,경기도 여주시 대신면 당남2길 19,경기도 여주시 대신면 당남리 131번지  ,2026-06-18
여주시,옥진농장,한우,26,경기도 여주시 강천면 강천로 277-35,경기도 여주시 강천면 강천리 487번지 1호 외 1필지(487-2) ,2026-06-18
여주시,옥봉축산,한우,2,경기도 여주시 북내면 여양2로 1264,경기도 여주시 북내면 주암리 21번지 3호  ,2026-06-18
여주시,육육농장,한우,16,경기도 여주시 북내면 석우길 97-10,경기도 여주시 북내면 석우리 53번지 2호  ,2026-06-18
여주시,덕성농장,한우,4,경기도 여주시 점동면 장여로 987-77,경기도 여주시 점동면 덕평리 42번지  ,2026-06-18
여주시,화영농장,한우,14,경기도 여주시 가남읍 가남로 866-45,경기도 여주시 가남읍 금곡리 276번지 2호  ,2026-06-18
여주시,준오농장,한우,70,경기도 여주시 주내로 699-46 (멱곡동),경기도 여주시 멱곡동 288번지  ,2026-06-18
여주시,당진농장,한우,30,경기도 여주시 점동면 성주로 838,경기도 여주시 점동면 당진리 151번지 5호  ,2026-06-18
여주시,오욱농장,한우,20,경기도 여주시 가남읍 금곡길 32,경기도 여주시 가남읍 금곡리 132번지 3호  ,2026-06-18
여주시,선일농장,한우,7,경기도 여주시 세종대왕면 새미실2길 20,경기도 여주시 세종대왕면 신지리 136번지  ,2026-06-18
여주시,샘물농원,한우,100,경기도 여주시 가여로 728-22 (삼교동),경기도 여주시 삼교동 412번지  ,2026-06-18
여주시,대연농장,한우,27,"경기도 여주시 주내로 603-45 (멱곡동,외 1필지(116))",경기도 여주시 멱곡동 117번지 1호 외 1필지(116) ,2026-06-18
여주시,대왕농장,한우,54,경기도 여주시 흥천면 부흥로 255 (외1필지),경기도 여주시 흥천면 대당리 414번지 외1필지 ,2026-06-18
여주시,덕수농장,한우,8,경기도 여주시 흥천면 능북로 504-7,경기도 여주시 흥천면 상백리 167번지  ,2026-06-18
여주시,근성농장,한우,5,경기도 여주시 북내면 외룡길 83-26,경기도 여주시 북내면 외룡리 247번지 4호  ,2026-06-18
여주시,초정목장,한우,10,경기도 여주시 대신면 후포1길 64-27,경기도 여주시 대신면 후포리 437번지 1호  ,2026-06-18
여주시,호석농장,한우,15,경기도 여주시 북내면 여양2로 1172-12,경기도 여주시 북내면 주암리 140번지 1호 외 1필지(140-4) ,2026-06-18
