사업장명칭,주사육업종,사업장소재지(지번),사업장소재지(도로명),데이터기준일
농업회사법인(주)민속한우,한우,"경상북도 안동시 북후면 물한리 201번지 ,서후면 저전리7 ","경상북도 안동시 북후면 저전물한길 69 (,서후면 저전리7)",2025-11-25
김정희농장,한우,경상북도 안동시 남후면 검암리 724번지  ,경상북도 안동시 남후면 모운사길 26-33,2025-11-25
태성농장,한우,경상북도 안동시 북후면 장기리 189번지  ,경상북도 안동시 북후면 와북로 140-89,2025-11-25
호선농장,한우,경상북도 안동시 북후면 도촌리 671번지  ,경상북도 안동시 북후면 도장길 273-6,2025-11-25
미영농장,한우,경상북도 안동시 와룡면 태리 548번지 2호  ,"경상북도 안동시 와룡면 매구네길 76, (매구네길 69)",2025-11-25
관음농장,한우,경상북도 안동시 풍산읍 죽전리 537번지 외1필지(536) ,경상북도 안동시 풍산읍 관음절길 52 (외1필지(536)),2025-11-25
조상엽농장,한우,경상북도 안동시 이천동 194번지 3호  ,"경상북도 안동시 미두리길 266, (이천동 194-3, 194-4) (이천동)",2025-11-25
성산축산,한우,경상북도 안동시 서후면 저전리 382번지 3호  ,경상북도 안동시 서후면 풍산태사로 3411-14,2025-11-25
느티나무농장,한우,"경상북도 안동시 풍산읍 서미리 329번지 외2필지(332,333) ",,2025-11-25
이은하농장,한우,"경상북도 안동시 풍산읍 수리 507번지 1호 , 507-2 ",경상북도 안동시 풍산읍 수동2길 50-9,2025-11-25
심점인농장,한우,경상북도 안동시 남후면 단호리 715번지 1호  ,경상북도 안동시 남후면 대곡길 52,2025-11-25
안동민속한우 영농조합법인(박지환위탁),한우,경상북도 안동시 서후면 성곡리 309번지  ,경상북도 안동시 서후면 성곡제일길 89-26,2025-11-25
영광농장,한우,경상북도 안동시 북후면 오산리 84번지 1호  ,경상북도 안동시 북후면 산약길 170-100,2025-11-25
미경농장,한우,경상북도 안동시 남후면 광음리 190번지 3호  ,"경상북도 안동시 남후면 감재길 236, (광음리 193-1)",2025-11-25
권성환농장,한우,경상북도 안동시 서후면 명리 215번지  ,경상북도 안동시 서후면 명이개길 139,2025-11-25
부부농장,한우,경상북도 안동시 길안면 묵계리 205번지 7호  ,,2025-11-25
성한농장,한우,경상북도 안동시 남선면 이천리 495번지  ,경상북도 안동시 남선면 뱁실길 152,2025-11-25
숙영농장,한우,경상북도 안동시 성곡동 923번지 4호 외1필지(923-5) ,,2025-11-25
황학산농장,한우,경상북도 안동시 길안면 백자리 697번지  ,경상북도 안동시 길안면 원백자길 2-2,2025-11-25
율림농장,한우,경상북도 안동시 풍산읍 하리리 24번지  ,경상북도 안동시 풍산읍 우렁길 139-20,2025-11-25
부성축산,한우,경상북도 안동시 남후면 무릉리 880번지 4호 외1필지(882) ,경상북도 안동시 남후면 숨실길 18-5 (외1필지(882)),2025-11-25
심우농장,한우,경상북도 안동시 서후면 이개리 13번지  ,경상북도 안동시 서후면 성곡이개길 64,2025-11-25
안동민속한우영농조합법인,한우,경상북도 안동시 북후면 장기리 38번지  ,경상북도 안동시 북후면 와북로 137,2025-11-25
화산축산,한우,경상북도 안동시 와룡면 감애리 466번지  ,경상북도 안동시 와룡면 와북로 823,2025-11-25
단지농장,한우,경상북도 안동시 남후면 단호리 591번지  ,경상북도 안동시 남후면 대곡길 95-5,2025-11-25
부자농장,한우,경상북도 안동시 와룡면 라소리 1010번지  ,"경상북도 안동시 와룡면 나소로 241-10, (라소리 1010)",2025-11-25
소산농장,한우,경상북도 안동시 풍산읍 소산리 789번지  ,,2025-11-25
신양농장,한우,"경상북도 안동시 풍산읍 신양리 925번지 3호 외2필지(923,924) ","경상북도 안동시 풍산읍 용산절길 65-7 (외2필지(923,924))",2025-11-25
한수농장,한우,경상북도 안동시 일직면 명진리 241번지  ,,2025-11-25
갓뒤농장,한우,경상북도 안동시 풍산읍 괴정리 499번지  ,경상북도 안동시 풍산읍 풍산태사로 616-10,2025-11-25
청명농장,한우,경상북도 안동시 일직면 평팔리 325번지  ,,2025-11-25
영배농장,한우,경상북도 안동시 풍산읍 괴정리 861번지  ,경상북도 안동시 풍산읍 양광길 79,2025-11-25
양지바른농장,한우,경상북도 안동시 녹전면 녹래리 196번지  ,경상북도 안동시 녹전면 녹래길 37-7,2025-11-25
광평농장,한우,경상북도 안동시 서후면 광평리 1127번지 1호  ,경상북도 안동시 서후면 개목사길 177-55,2025-11-25
진섭농장,한우,경상북도 안동시 남후면 무릉리 589번지  ,경상북도 안동시 남후면 남일로 1330-62,2025-11-25
상규네농장,한우,경상북도 안동시 서후면 명리 214번지  ,,2025-11-25
중리농장,한우,경상북도 안동시 풍천면 가곡리 866번지  ,경상북도 안동시 풍천면 평장골길 36,2025-11-25
라니네농장,종계/산란계,경상북도 안동시 서후면 광평리 1065번지  ,경상북도 안동시 서후면 개목사길 45-98,2025-11-25
매정농장,한우,경상북도 안동시 녹전면 매정리 394번지 3호  ,경상북도 안동시 녹전면 매정용두길 128,2025-11-25
만운농장,한우,경상북도 안동시 풍산읍 만운리 514번지 2호  ,,2025-11-25
상주농장,사슴,경상북도 안동시 이천동 646번지 1호  ,경상북도 안동시 두우티길 162-56 (이천동),2025-11-25
신양농장,한우,경상북도 안동시 풍산읍 신양리 48번지  ,,2025-11-25
이승호농장,한우,경상북도 안동시 와룡면 라소리 1105번지  ,경상북도 안동시 와룡면 나소로 170-39,2025-11-25
근이농장,한우,"경상북도 안동시 와룡면 주하리 345번지 2호 ,345-1,344,581-1 ",경상북도 안동시 와룡면 감애주하길 377,2025-11-25
농업회사법인금빛축산(주),종계/산란계,경상북도 안동시 북후면 옹천리 190번지  ,경상북도 안동시 북후면 감성길 30-29,2025-11-25
풍북농장,한우,경상북도 안동시 풍산읍 괴정리 543번지 외1필지(533-9) ,경상북도 안동시 풍산읍 괴정안길 48-1 (외1필지(533-9)),2025-11-25
운호농장,한우,경상북도 안동시 서후면 교리 278번지 3호 외1필지(278) ,,2025-11-25
윤희율농장,한우,경상북도 안동시 와룡면 이상리 613번지 외1필지(614) ,경상북도 안동시 와룡면 샘골길 43-102,2025-11-25
감애농장,한우,경상북도 안동시 와룡면 감애리 234번지  ,경상북도 안동시 와룡면 감애구송로 7-5,2025-11-25
연승농장,한우,경상북도 안동시 북후면 도촌리 383번지  ,경상북도 안동시 북후면 도장길 43-26,2025-11-25
시진농장,한우,경상북도 안동시 와룡면 가야리 447번지 2호  ,경상북도 안동시 와룡면 나소로 114-16,2025-11-25
도섭농장,한우,경상북도 안동시 북후면 도진리 470번지 외1필지(471) ,경상북도 안동시 북후면 산약길 262-4 (외1필지(471)),2025-11-25
펄이농장,한우,경상북도 안동시 북후면 도진리 510번지 외1필지(511) ,,2025-11-25
하원당농장,한우,경상북도 안동시 녹전면 원천리 230번지  ,,2025-11-25
서미농장,한우,경상북도 안동시 풍산읍 서미리 154번지  ,경상북도 안동시 풍산읍 서미2길 6-42,2025-11-25
장수축산 농장,한우,경상북도 안동시 와룡면 지내리 440번지 외1필지(440-1) ,경상북도 안동시 와룡면 장수골길 179-50 (외1필지(440-1)),2025-11-25
대덕농장,한우,"경상북도 안동시 와룡면 오천리 812번지 , 812-3, 813 ",경상북도 안동시 와룡면 바위골길 52,2025-11-25
아름농장,한우,경상북도 안동시 일직면 망호리 290번지  ,경상북도 안동시 일직면 지실들길 32,2025-11-25
아름농장,한우,경상북도 안동시 일직면 망호리 389번지 1호  ,경상북도 안동시 일직면 지실들길 25,2025-11-25
김대식 농장,한우,경상북도 안동시 와룡면 라소리 946번지 1호  ,경상북도 안동시 와룡면 나소로 170-16,2025-11-25
휴봉농장,한우,경상북도 안동시 일직면 조탑리 388번지 388외 3필지 ,경상북도 안동시 일직면 긴대골길 88 (외 3필지),2025-11-25
세원축산,돼지,경상북도 안동시 와룡면 서현리 222번지 외1필지(225) ,경상북도 안동시 와룡면 와북로 659-47,2025-11-25
오장실농장,한우,경상북도 안동시 와룡면 주하리 112번지 3호  ,,2025-11-25
황제농장,한우,경상북도 안동시 풍천면 광덕리 964번지  ,경상북도 안동시 풍천면 광디길 142,2025-11-25
서암농장,한우,경상북도 안동시 와룡면 태리 274번지 1호  ,,2025-11-25
김상희 농장,육계,경상북도 안동시 풍산읍 신양리 890번지  ,,2025-11-25
원천농장,육계,경상북도 안동시 녹전면 원천리 152번지  ,경상북도 안동시 녹전면 고정길 6-12,2025-11-25
서삼축산,한우,경상북도 안동시 녹전면 서삼리 629번지  ,,2025-11-25
유림농장,한우,경상북도 안동시 풍천면 기산리 273번지 1호  ,경상북도 안동시 풍천면 광덕섬길 129,2025-11-25
현대축산,돼지,"경상북도 안동시 임하면 오대리 1099번지 1호 외 2필지(1099-4, 1099-5) ",경상북도 안동시 임하면 금소길 63-25,2025-11-25
강서농장,한우,경상북도 안동시 남후면 고하리 711번지 2호  ,경상북도 안동시 남후면 고하서당길 26,2025-11-25
운곡축사,한우,경상북도 안동시 도산면 운곡리 86번지  ,경상북도 안동시 도산면 구레실길 10,2025-11-25
만평농장,한우,경상북도 안동시 풍천면 광덕리 226번지  ,경상북도 안동시 풍천면 광덕섬길 292,2025-11-25
웅지농장,한우,경상북도 안동시 예안면 구룡리 59번지  ,경상북도 안동시 예안면 대곡구룡길 212-43,2025-11-25
농민농장,한우,경상북도 안동시 녹전면 녹래리 211번지 2호  ,,2025-11-25
한계리 농장,한우,경상북도 안동시 녹전면 서삼리 938번지  ,경상북도 안동시 녹전면 녹지로 264,2025-11-25
대흥농장,한우,경상북도 안동시 서후면 대두서리 192번지 5호  ,경상북도 안동시 서후면 명리독점길 211-77,2025-11-25
우리농장,한우,경상북도 안동시 일직면 용각리 571번지  ,경상북도 안동시 일직면 용각길 311,2025-11-25
청솔한우,한우,경상북도 안동시 와룡면 지내리 206번지 1호  ,경상북도 안동시 와룡면 농암로 265-6,2025-11-25
한국축산2농장,한우,경상북도 안동시 와룡면 주계리 768번지 외1필지(776) ,경상북도 안동시 와룡면 장수골길 217-23,2025-11-25
상호농장,한우,경상북도 안동시 북후면 물한리 647번지 외1필지(647-1) ,경상북도 안동시 북후면 물한길 66-38,2025-11-25
삼진농장,한우,경상북도 안동시 녹전면 녹래리 334번지  ,경상북도 안동시 녹전면 녹지로 461-22,2025-11-25
광평농장,한우,경상북도 안동시 서후면 광평리 35번지 1호  ,경상북도 안동시 서후면 광평1길 30-18,2025-11-25
강전구농장,한우,경상북도 안동시 북후면 석탑리 125번지  ,경상북도 안동시 북후면 청골길 199,2025-11-25
제일농장,한우,경상북도 안동시 서후면 성곡리 460번지  ,경상북도 안동시 서후면 성곡제일길 214-5,2025-11-25
왕솔농장,한우,경상북도 안동시 길안면 백자리 369번지 1호  ,경상북도 안동시 길안면 만음백자길 765-34,2025-11-25
우리농장,한우,경상북도 안동시 일직면 망호리 539번지 1호 외1필지(540-1) ,경상북도 안동시 일직면 일직점곡로 11-9,2025-11-25
학산농원,한우,경상북도 안동시 북후면 석탑리 693번지  ,경상북도 안동시 북후면 석탑동굴길 5,2025-11-25
거북산신부골권기탁농원,한우,경상북도 안동시 와룡면 주하리 178번지 1호  ,경상북도 안동시 와룡면 감애주하길 259-14,2025-11-25
정우농장,한우,경상북도 안동시 녹전면 원천리 298번지  ,경상북도 안동시 녹전면 원당안길 30-20,2025-11-25
지영농장,한우,"경상북도 안동시 와룡면 가구리 455번지 2호 , 455-3 ",경상북도 안동시 와룡면 농암로 120-54,2025-11-25
조파농장,한우,경상북도 안동시 풍산읍 만운리 1086번지  ,경상북도 안동시 풍산읍 조파길 185-36,2025-11-25
오산농장,한우,경상북도 안동시 북후면 오산리 262번지  ,경상북도 안동시 북후면 이하오산로 56,2025-11-25
용계농원,한우,경상북도 안동시 길안면 구수리 790번지  ,,2025-11-25
성부농장,한우,경상북도 안동시 이천동 241번지 2호  ,"경상북도 안동시 연미원길 261-8, (이천동 241-2) (이천동)",2025-11-25
세낙농장,한우,경상북도 안동시 풍산읍 신양리 762번지 1호  ,,2025-11-25
광성농장,육계,경상북도 안동시 북후면 물한리 185번지  ,경상북도 안동시 북후면 저전물한길 77,2025-11-25
길안사슴농장,사슴,경상북도 안동시 길안면 만음리 942번지  ,경상북도 안동시 길안면 만음1길 80-5,2025-11-25
일심농장,한우,경상북도 안동시 풍천면 구담리 130번지 5호 외1필지(130) ,,2025-11-25
단호우사,한우,경상북도 안동시 남후면 단호리 670번지 5호  ,경상북도 안동시 남후면 대곡길 64,2025-11-25
승리농장,한우,경상북도 안동시 임동면 고천리 540번지  ,경상북도 안동시 임동면 고천덕강길 42-85,2025-11-25
원일농장,한우,"경상북도 안동시 풍산읍 신양리 390번지 1호 외3필지(388,390-2,390-3) ",,2025-11-25
비전농장,돼지,경상북도 안동시 일직면 국곡리 820번지  ,경상북도 안동시 일직면 남일로 304-94,2025-11-25
태영농장,한우,"경상북도 안동시 이천동 837번지 2호 , 793 ","경상북도 안동시 두우티길 233-105, 233-18 (이천동)",2025-11-25
형제축산,한우,경상북도 안동시 일직면 송리리 6번지  ,경상북도 안동시 일직면 현마을길 16-41,2025-11-25
선우농장,한우,경상북도 안동시 녹전면 서삼리 800번지 3호  ,경상북도 안동시 녹전면 능실길 6-6,2025-11-25
