사업장명칭,주사육업종,사업장소재지(지번),사육두수
오재준농장,한우,전남광주통합특별시 해남군 옥천면 백호리 567번지 23호  ,57
윤동현농장,한우,전남광주통합특별시 해남군 옥천면 용동리 207번지 1호 외 2필지 ,40
새날목장,한우,전남광주통합특별시 해남군 옥천면 흑천리 782번지 1호 외6필지 ,115
명우농장,한우,전남광주통합특별시 해남군 황산면 연호리 194번지 외 3필지 ,100
설소동농장,한우,전남광주통합특별시 해남군 황산면 연호리 690번지  ,130
이수배농장,한우,전남광주통합특별시 해남군 옥천면 신죽리 481번지 1호  ,50
두다리축산,육계,전남광주통합특별시 해남군 황산면 송호리 119번지 2호  ,200000
강동남농장,한우,전남광주통합특별시 해남군 황산면 일신리 23번지 5호  ,17
석당농장,한우,전남광주통합특별시 해남군 황산면 관춘리 1173번지 9호  ,15
김홍일농장,한우,전남광주통합특별시 해남군 황산면 관춘리 1162번지 34호 외 3필지 ,30
신흥토종닭농장,육계,전남광주통합특별시 해남군 송지면 마봉리 1370번지  ,500
박성태농장,한우,"전남광주통합특별시 해남군 화산면 연곡리 244번지 외2필지(245,247번지) ",18
뿌리농장,한우,전남광주통합특별시 해남군 화산면 석호리 395번지 2호 외 1필지 ,200
한용주농장,한우,전남광주통합특별시 해남군 황산면 연당리 179번지 1호  ,16
강경석농장,한우,전남광주통합특별시 해남군 황산면 일신리 46번지 4호 외 3필지 ,18
현연농장,한우,전남광주통합특별시 해남군 황산면 외입리 631번지 2호 외 3필지 ,50
형제축산,한우,전남광주통합특별시 해남군 황산면 원호리 445번지 1호 외 5필지 ,300
이성순농장,한우,전남광주통합특별시 해남군 계곡면 성진리 1015번지  ,34
부곡농장,돼지,전남광주통합특별시 해남군 황산면 부곡리 765번지 1호  ,650
농업회사법인그린피그팜(주),돼지,전남광주통합특별시 해남군 황산면 연당리 8번지  ,1401
김성만농장,육계,전남광주통합특별시 해남군 황산면 송호리 860번지 7호  ,55000
덕진축산,한우,전남광주통합특별시 해남군 화산면 금풍리 269번지 4호  ,37
임종철농장,한우,전남광주통합특별시 해남군 화산면 석호리 850번지 4호  ,45
발산농장,한우,전남광주통합특별시 해남군 황산면 연호리 97번지 9호  ,7
박성재농장,한우,전남광주통합특별시 해남군 황산면 연호리 114번지 2호  ,10
정일농장,한우,전남광주통합특별시 해남군 송지면 해원리 863번지 1호  ,47
묵동목장,한우,전남광주통합특별시 해남군 옥천면 신죽리 731번지  ,70
김양언농장,한우,전남광주통합특별시 해남군 화산면 평호리 451번지  ,9
주명옥농장,한우,전남광주통합특별시 해남군 현산면 백포리 111번지 5호 외2필지 ,12
황산목장,한우,전남광주통합특별시 해남군 현산면 황산리 967번지  ,65
이양학농장,한우,전남광주통합특별시 해남군 현산면 조산리 2번지  ,60
백두농장,한우,전남광주통합특별시 해남군 북평면 남창리 959번지 외 1필지 ,98
김남중농장,한우,전남광주통합특별시 해남군 마산면 상등리 1036번지 1호  ,10
리원농장,한우,전남광주통합특별시 해남군 현산면 월송리 701번지  ,30
가학농장,한우,전남광주통합특별시 해남군 계곡면 가학리 191-21 ,7
이성학농장,한우,전남광주통합특별시 해남군 옥천면 청신리 789번지 18호  ,2
옥매농장,한우,전남광주통합특별시 해남군 황산면 옥동리 22번지  ,11
박미경농장,한우,전남광주통합특별시 해남군 문내면 난대리 591번지 2호  ,80
최재수농장,한우,전남광주통합특별시 해남군 북평면 오산리 490번지  ,7
성심농장,한우,전남광주통합특별시 해남군 해남읍 용정리 697번지 외 9필지 ,120
민필기농장,한우,전남광주통합특별시 해남군 마산면 화내리 540번지 외 6필지 ,20
장복석 농장,한우,전남광주통합특별시 해남군 해남읍 복평리 337번지  ,50
