사업장명칭,주사육업종,사업장소재지(지번),사육두수
김영익농장,한우,전남광주통합특별시 해남군 옥천면 흑천리 215번지 외 1필지(216) 및 245-3 외 1필지 ,60
월송농장,한우,전남광주통합특별시 해남군 현산면 월송리 676번지 7호  ,30
김수조농장,한우,전남광주통합특별시 해남군 현산면 월송리 1008번지 외2필지 ,26
지정오농장,한우,전남광주통합특별시 해남군 현산면 월송리 1515번지 5호 외1필지(790번지) ,62
부자농장,한우,전남광주통합특별시 해남군 계곡면 사정리 452번지 6호 외 1필지 ,17
태양목장,한우,전남광주통합특별시 해남군 화산면 방축리 1125번지 외1필지 ,27
박관웅농장,한우,전남광주통합특별시 해남군 문내면 석교리 1300번지 1호 외 1필지 ,6
재호축산,한우,전남광주통합특별시 해남군 삼산면 창리 848번지 외 1필지 ,13
대성농장,한우,전남광주통합특별시 해남군 계곡면 성진리 142번지 외 1필지 ,10
김경길농장,한우,전남광주통합특별시 해남군 송지면 미야리 639번지 외 1필지(639-2) ,70
김병용농장,한우,전남광주통합특별시 해남군 현산면 황산리 105번지 1호  ,14
상배농장,한우,전남광주통합특별시 해남군 해남읍 내사리 566번지 1호 외 4필지 ,30
창구농장,한우,전남광주통합특별시 해남군 해남읍 용정리 807번지  ,27
태복수농장,한우,전남광주통합특별시 해남군 삼산면 봉학리 38번지 6호 외 2필지 ,56
석열농장,한우,전남광주통합특별시 해남군 송지면 군곡리 799번지 1호 외 1필지 ,13
상경농장,한우,전남광주통합특별시 해남군 현산면 만안리 340번지  ,10
송계축산,한우,전남광주통합특별시 해남군 화산면 안호리 854번지 1호  ,5
소룡농장,한우,전남광주통합특별시 해남군 삼산면 평활리 379번지 1호  ,10
관두축산,한우,전남광주통합특별시 해남군 삼산면 평활리 374번지 2호  ,34
태양농장,한우,전남광주통합특별시 해남군 삼산면 원진리 793번지 외 4필지 ,100
강연식농장,한우,전남광주통합특별시 해남군 황산면 일신리 64번지 1호  ,19
재성농장,한우,전남광주통합특별시 해남군 문내면 예락리 374번지  ,15
비낸농장,한우,전남광주통합특별시 해남군 화산면 평호리 561번지 6호  ,15
형제농장,한우,전남광주통합특별시 해남군 화산면 연곡리 251번지  ,32
운곡농장,한우,전남광주통합특별시 해남군 송지면 서정리 1088번지 외 1필지 ,13
주만농장,한우,전남광주통합특별시 해남군 화원면 후산리 119번지 5호 외1필지(82번지) ,24
혁재농장,한우,전남광주통합특별시 해남군 현산면 읍호리 672번지 1호  ,12
복준농장,한우,전남광주통합특별시 해남군 현산면 월송리 784번지 외 1필지(809) ,15
영오2농장,한우,전남광주통합특별시 해남군 문내면 석교리 938번지  ,43
뜨락농장,한우,전남광주통합특별시 해남군 마산면 용전리 759번지  ,8
진수농장,한우,전남광주통합특별시 해남군 마산면 연구리 1108번지 4호  ,52
순이농장,한우,전남광주통합특별시 해남군 해남읍 내사리 1349번지  ,8
흥촌농장,한우,전남광주통합특별시 해남군 북일면 흥촌리 1607번지 3호  ,18
