제조업체명,사료구분,생산사료명
댕댕식당,단미,단미사료/혼합성단미사료
킹콩하우스 애견카페,단미,"단미사료/혼합성단미사료, 기타 동물성단백질류"
주인아 까까사줘,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
비바도기,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
멍 레스트 수제간식,단미,"단미사료/혼합성단미사료, 기타 동물성단백질류"
사람과 자연,단미,"단미사료/식물성-식품가공부산물류, 기타-남은음식물"
솜바지 다과점,단미,"단미사료/혼합성단미사료, 기타 동물성단백질류"
(주)청아바이오,보조,"보조사료/미생물제, 혼합성보조사료"
멍냥플레이트 경북도청점,단미,"단미사료/혼합성단미사료, 기타 동물성단백질류"
오위드,단미,"단미사료/혼합성단미사료, 기타 동물성단백질류"
올리데이,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
봉글봉글,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
한국와송산업,보조,보조사료/추출제
썬앤문바이오(주),보조,보조사료/미생물제
주식회사 우금,단미,"단미사료/식물성-박류, 혼합성단미사료"
송소담,단미,"단미사료/혼합성단미사료, 기타 동물성단백질류"
댕식당,단미,단미사료/혼합성단미사료
댕프레시,단미,"단미사료/혼합성단미사료, 기타 동물성단백질류"
우쭈쭈수제간식,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
농업회사법인 대원바이오(주),배합,배합사료/섬유질
그린독,단미,"단미사료/혼합성단미사료, 기타 동물성단백질류"
농업회사법인(주)류충현약용버섯,배합,배합사료/그밖의 동물·어류용
댕댕츄릅,단미,"단미사료/혼합성단미사료, 기타 동물성단백질류"
댕댕점빵,단미,"단미사료/혼합성단미사료, 기타 동물성단백질류"
한솔환경,보조,보조사료/규산염제
냠냠구하노,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
디저트댕,단미,"단미사료/혼합성단미사료, 기타 동물성단백질류"
패밀리 아쿠아,단미,단미사료/동물성-플랑크톤류
하이비오,단미,"단미사료/혼합성단미사료, 기타 동물성단백질류"
(주)홀썸바이오,단미,단미사료/혼합성단미사료
(주)홀썸바이오,보조,보조사료/혼합성 보조사료
(주)홀썸바이오,배합,배합사료/그밖의동물어류용-애완용동물
몽레브,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
까까주까,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
(유)축산냄새연구소,보조,"보조사료/ 미생물제, 올리고당"
주식회사 에이엠엘바이오,단미,단미사료/광물성-혼합광물질
한나상점,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
농업회사법인 주식회사 더팜스,단미,단미사료/식물성-식품가공부산물류
더 반,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
펫츠까까,단미,"단미사료/혼합성단미사료, 기타 동물성단백질류"
오해피댕,단미,"단미사료/혼합성단미사료, 기타 동물성단백질류"
안동봉화축협 벌꿀저온농축장,배합,배합사료/양축용-꿀벌
다그닥컴퍼니,단미,단미사료/혼합성단미사료
뚜드림 안동점,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
멍푸치노,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
마! 주인,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
웨이브독,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
와썹멍,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
(주)사조대림 영천공장,단미,단미사료/식물성-박류
프라독 쿡,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
멍더랜드,단미,"단미사료/혼합성 단미사료, 기타 동물성단백질류"
(주)비스,단미,"단미사료/혼합성단미사료, 혼합광물질류"
(주)비스,보조,"보존제,아미노산제,비타민제,효소제,미생물제,향미제,혼합제"
주식회사 에이치엔에프,단미,단미사료/동물성단백질류
